person;place;
"Hugo";"Philadelphia";
"Humberto";"Miami";
"Hung";"Wichita";
"Hyman";"Detroit";
"Ian";"Philadelphia";
"Irving";"Miami";
"Irwin";"Chicago";
"Isiah";"Miami";
"Isidro";"Philadelphia";
"Isreal";"Chicago";
"Ivan";"Oakland";
"Jack";"Austin";
"Jackson";"Detroit";
"Jaime";"Baltimore";
"Jamar";"Miami";
"Jamey";"Wichita";
"Jamie";"Miami";
"Jarred";"Detroit";
"Jarvis";"Detroit";
"Jason";"Oakland";
"Jasper";"Detroit";
"Javier";"Oakland";
"Jc";"Detroit";
"Jefferey";"Miami";
"Jeffery";"Charlotte";
"Jeffry";"Miami";
"Jeramy";"Oakland";
"Jeremiah";"Charlotte";
"Jeromy";"Oakland";
"Jerry";"Oakland";
"Jessie";"Oakland";
"Jewell";"Chicago";
"Joaquin";"Charlotte";
"Jody";"Oakland";
"Joe";"Austin";
"Johnathon";"Oakland";
"Jon";"Wichita";
"Jonas";"Baltimore";
"Jonathan";"Philadelphia";
"Jordan";"Dallas";
"Joseph";"Chicago";
"Josh";"Oakland";
"Joshua";"Austin";
"Jude";"Dallas";
"Julius";"Oakland";
"Kasey";"Charlotte";
"Keith";"Philadelphia";
"Ken";"Miami";
"Kendall";"Charlotte";
"Keneth";"Philadelphia";
"Kenneth";"Austin";
"Kevin";"Charlotte";
"Kory";"Detroit";
"Kraig";"Oakland";
"Kristopher";"Detroit";
"Kurtis";"Detroit";
"Kyle";"Charlotte";
"Lacy";"Wichita";
"Lance";"Charlotte";
"Lane";"Charlotte";
"Lawerence";"Wichita";
"Leandro";"Wichita";
"Lee";"Wichita";
"Len";"Charlotte";
"Lenny";"Chicago";
"Leo";"Chicago";
"Leon";"Austin";
"Leonel";"Baltimore";
"Leopoldo";"Detroit";
"Lester";"Philadelphia";
"Lewis";"Miami";
"Lincoln";"Oakland";
"Lindsay";"Charlotte";
"Lindsey";"Philadelphia";
"Lino";"Baltimore";
"Linwood";"Baltimore";
"Lionel";"Baltimore";
"Lloyd";"Wichita";
"Long";"Detroit";
"Louie";"Miami";
"Louis";"Austin";
"Lowell";"Philadelphia";
"Lucas";"Oakland";
"Luciano";"Dallas";
"Lucius";"Philadelphia";
"Lupe";"Dallas";
"Luther";"Oakland";
"Lyndon";"Charlotte";
"Mac";"Austin";
"Malik";"Philadelphia";
"Man";"Baltimore";
"Manual";"Dallas";
"Marc";"Charlotte";
"Marcel";"Austin";
"Marcellus";"Philadelphia";
"Marco";"Oakland";
"Margarito";"Charlotte";
"Maria";"Miami";
"Mariano";"Austin";
"Marion";"Oakland";
"Mark";"Dallas";
"Markus";"Chicago";
"Marlin";"Austin";
"Marlon";"Philadelphia";
"Mason";"Charlotte";
"Matt";"Philadelphia";
"Max";"Wichita";
"Maximo";"Philadelphia";
"Mckinley";"Detroit";
"Mel";"Wichita";
"Melvin";"Austin";
"Micah";"Chicago";
"Michael";"Detroit";
"Michal";"Oakland";
"Micheal";"Wichita";
"Miguel";"Chicago";
"Mike";"Dallas";
"Mikel";"Baltimore";
"Minh";"Miami";
"Mitch";"Charlotte";
"Moises";"Detroit";
"Monroe";"Oakland";
"Monte";"Detroit";
"Morgan";"Austin";
"Myles";"Detroit";
"Myron";"Dallas";
"Nathan";"Dallas";
"Nathanael";"Detroit";
"Neal";"Dallas";
"Ned";"Dallas";
"Neil";"Wichita";
"Nestor";"Wichita";
"Nicholas";"Austin";
"Nicky";"Philadelphia";
"Nicolas";"Oakland";
"Noble";"Austin";
"Noe";"Detroit";
"Normand";"Detroit";
"Norris";"Philadelphia";
"Numbers";"Charlotte";
"Ollie";"Wichita";
"Orval";"Chicago";
"Orville";"Austin";
"Osvaldo";"Chicago";
"Oswaldo";"Austin";
"Otha";"Wichita";
"Otto";"Dallas";
"Pablo";"Detroit";
"Paris";"Detroit";
"Parker";"Wichita";
"Patrick";"Miami";
"Pedro";"Oakland";
"Phil";"Chicago";
"Philip";"Baltimore";
"Porfirio";"Philadelphia";
"Porter";"Miami";
"Preston";"Miami";
"Quentin";"Miami";
"Quincy";"Chicago";
"Quinton";"Philadelphia";
"Rafael";"Chicago";
"Rashad";"Dallas";
"Raul";"Wichita";
"Ray";"Chicago";
"Rayford";"Oakland";
"Raymond";"Chicago";
"Raymundo";"Charlotte";
"Reed";"Detroit";
"Refugio";"Oakland";
"Reggie";"Baltimore";
"Reginald";"Charlotte";
"Reinaldo";"Detroit";
"Renato";"Wichita";
"Rey";"Wichita";
"Reynaldo";"Detroit";
"Rhett";"Oakland";
"Richard";"Wichita";
"Rigoberto";"Wichita";
"Riley";"Chicago";
"Robbie";"Baltimore";
"Robt";"Baltimore";
"Rocco";"Philadelphia";
"Rocky";"Chicago";
"Rodney";"Detroit";
"Rodolfo";"Wichita";
"Rodrigo";"Dallas";
"Roland";"Wichita";
"Rolando";"Charlotte";
"Rolf";"Miami";
"Rolland";"Miami";
"Ron";"Dallas";
"Ronnie";"Baltimore";
"Rosario";"Austin";
"Rosendo";"Charlotte";
"Ross";"Oakland";
"Roy";"Chicago";
"Royce";"Charlotte";
"Ruben";"Dallas";
"Rubin";"Oakland";
"Rueben";"Wichita";
"Rufus";"Chicago";
"Russel";"Baltimore";
"Rusty";"Oakland";
"Ryan";"Austin";
"Sal";"Miami";
"Salvatore";"Chicago";
"Samual";"Philadelphia";
"Sandy";"Oakland";
"Sang";"Miami";
"Santiago";"Miami";
"Scottie";"Oakland";
"Scotty";"Wichita";
"Sebastian";"Detroit";
"Seymour";"Dallas";
"Shaun";"Chicago";
"Shawn";"Austin";
"Shelton";"Chicago";
"Sherman";"Charlotte";
"Sherwood";"Charlotte";
"Shirley";"Dallas";
"Shon";"Chicago";
"Sid";"Philadelphia";
"Silas";"Miami";
"Sol";"Chicago";
"Solomon";"Charlotte";
"Stan";"Charlotte";
"Stanford";"Wichita";
"Stephen";"Austin";
"Sterling";"Wichita";
"Stewart";"Oakland";
"Sung";"Dallas";
"Sydney";"Charlotte";
"Ted";"Detroit";
"Teodoro";"Chicago";
"Terence";"Philadelphia";
"Terrance";"Dallas";
"Terrence";"Detroit";
"Thad";"Detroit";
"Theron";"Miami";
"Thurman";"Baltimore";
"Tim";"Detroit";
"Titus";"Miami";
"Tobias";"Baltimore";
"Tommie";"Miami";
"Tommy";"Dallas";
"Travis";"Austin";
"Trent";"Miami";
"Trevor";"Wichita";
"Trey";"Oakland";
"Trinidad";"Miami";
"Troy";"Detroit";
"Truman";"Detroit";
"Tuan";"Miami";
"Ty";"Chicago";
"Tyler";"Detroit";
"Tyrone";"Charlotte";
"Tyson";"Dallas";
"Ulysses";"Charlotte";
"Val";"Baltimore";
"Vaughn";"Detroit";
"Vern";"Dallas";
"Victor";"Oakland";
"Vince";"Wichita";
"Vincent";"Oakland";
"Von";"Oakland";
"Wally";"Philadelphia";
"Walton";"Detroit";
"Warren";"Dallas";
"Wayne";"Austin";
"Werner";"Chicago";
"Wesley";"Austin";
"Whitney";"Detroit";
"Wilburn";"Baltimore";
"Wiley";"Austin";
"Willy";"Charlotte";
"Wilmer";"Detroit";
"Wilson";"Miami";
"Winston";"Oakland";
"Wyatt";"Dallas";
"Yong";"Dallas";
"Young";"Austin";
"Zachariah";"Chicago";
"Zachery";"Detroit";
"Zack";"Charlotte";
"Zane";"Miami";
"Adelaida";"Oakland";
"Adrianne";"Dallas";
"Adriene";"Dallas";
"Aileen";"Philadelphia";
"Akilah";"Charlotte";
"Alaine";"Oakland";
"Albertina";"Baltimore";
"Alesha";"Miami";
"Aleta";"Oakland";
"Aletha";"Chicago";
"Alexandria";"Wichita";
"Alfreda";"Baltimore";
"Alice";"Charlotte";
"Aline";"Chicago";
"Alisa";"Austin";
"Allyn";"Detroit";
"Alverta";"Austin";
"Alysa";"Oakland";
"Amiee";"Detroit";
"Anabel";"Chicago";
"Analisa";"Chicago";
"Anastacia";"Baltimore";
"Angeles";"Chicago";
"Angelina";"Oakland";
"Angla";"Detroit";
"Anjanette";"Dallas";
"Annabel";"Austin";
"Annalisa";"Austin";
"Annie";"Philadelphia";
"Annika";"Oakland";
"Antoinette";"Philadelphia";
"Antonietta";"Dallas";
"Ardelia";"Dallas";
"Argentina";"Wichita";
"Arlyne";"Detroit";
"Ashli";"Baltimore";
"Astrid";"Austin";
"Audrea";"Austin";
"Aurelia";"Detroit";
"Ava";"Austin";
"Barrie";"Philadelphia";
"Bebe";"Wichita";
"Bee";"Chicago";
"Bernadine";"Charlotte";
"Bernetta";"Charlotte";
"Bethany";"Miami";
"Birgit";"Oakland";
"Blythe";"Wichita";
"Bobbi";"Baltimore";
"Bobbye";"Charlotte";
"Brandee";"Oakland";
"Brenna";"Wichita";
"Brigid";"Chicago";
"Brigitte";"Oakland";
"Calandra";"Dallas";
"Carli";"Miami";
"Carmelia";"Wichita";
"Carmelita";"Oakland";
"Carmina";"Chicago";
"Carolynn";"Dallas";
"Carrie";"Austin";
"Casimira";"Detroit";
"Cassie";"Philadelphia";
"Cathy";"Wichita";
"Cecily";"Detroit";
"Celeste";"Miami";
"Chanel";"Austin";
"Charlotte";"Wichita";
"Chasity";"Charlotte";
"Chery";"Charlotte";
"Chieko";"Wichita";
"Chiquita";"Dallas";
"Chrissy";"Austin";
"Christiana";"Dallas";
"Christy";"Austin";
"Ciera";"Dallas";
"Claudia";"Chicago";
"Cleotilde";"Dallas";
"Cleta";"Austin";
"Clorinda";"Miami";
"Colette";"Wichita";
"Colleen";"Baltimore";
"Collette";"Wichita";
"Conchita";"Dallas";
"Coretta";"Baltimore";
"Cristal";"Chicago";
"Cyndi";"Philadelphia";
"Daniela";"Oakland";
"Danille";"Oakland";
"Dannielle";"Austin";
"Danyel";"Miami";
"Darcel";"Oakland";
"Darcey";"Oakland";
"Daria";"Baltimore";
"Dayna";"Philadelphia";
"Deadra";"Austin";
"Debi";"Oakland";
"Deena";"Oakland";
"Deetta";"Philadelphia";
"Delaine";"Detroit";
"Delmy";"Miami";
"Delora";"Dallas";
"Denise";"Austin";
"Denita";"Miami";
"Denna";"Philadelphia";
"Desire";"Detroit";
"Desiree";"Wichita";
"Dia";"Oakland";
"Diedra";"Wichita";
"Dionne";"Baltimore";
"Dollie";"Oakland";
"Dominque";"Dallas";
"Domitila";"Miami";
"Donette";"Oakland";
"Donnetta";"Dallas";
"Dorene";"Charlotte";
"Dorinda";"Austin";
"Dorothea";"Dallas";
"Dottie";"Baltimore";
"Drusilla";"Oakland";
"Dyan";"Miami";
"Earnestine";"Detroit";
"Edda";"Chicago";
"Edna";"Philadelphia";
"Edra";"Dallas";
"Eileen";"Miami";
"Elayne";"Chicago";
"Eleanore";"Dallas";
"Elease";"Detroit";
"Eleonore";"Oakland";
"Eliana";"Baltimore";
"Elinor";"Austin";
"Elinore";"Detroit";
"Elke";"Wichita";
"Ellan";"Austin";
"Elna";"Philadelphia";
"Elza";"Miami";
"Ema";"Oakland";
"Emely";"Miami";
"Emerald";"Miami";
"Emmaline";"Wichita";
"Ena";"Detroit";
"Enriqueta";"Chicago";
"Erica";"Dallas";
"Esther";"Oakland";
"Ethelene";"Wichita";
"Evangelina";"Philadelphia";
"Eve";"Philadelphia";
"Evelyne";"Dallas";
"Evie";"Philadelphia";
"Fatima";"Austin";
"Fay";"Chicago";
"Fredda";"Austin";
"Frida";"Philadelphia";
"Gabrielle";"Wichita";
"Gaynelle";"Austin";
"Genevive";"Miami";
"Georgine";"Detroit";
"Ginette";"Miami";
"Ginny";"Chicago";
"Golda";"Philadelphia";
"Griselda";"Austin";
"Gudrun";"Chicago";
"Guillermina";"Detroit";
"Gwenda";"Chicago";
"Harriett";"Chicago";
"Harriette";"Miami";
"Hazel";"Miami";
"Helene";"Dallas";
"Herlinda";"Detroit";
"Hermelinda";"Dallas";
"Hermila";"Chicago";
"Hertha";"Baltimore";
"Hettie";"Charlotte";
"Hilaria";"Austin";
"Hui";"Baltimore";
"Jacalyn";"Oakland";
"Jacqualine";"Charlotte";
"Jacque";"Chicago";
"Jamee";"Detroit";
"Jammie";"Detroit";
"Janett";"Wichita";
"Janise";"Baltimore";
"Janna";"Charlotte";
"Jannet";"Chicago";
"Jasmine";"Dallas";
"Jayne";"Philadelphia";
"Jazmin";"Austin";
"Jeanett";"Chicago";
"Jeanetta";"Dallas";
"Jeanmarie";"Dallas";
"Jeanna";"Dallas";
"Jennie";"Philadelphia";
"Jerica";"Wichita";
"Jerilyn";"Wichita";
"Jerri";"Chicago";
"Jesica";"Baltimore";
"Jessenia";"Dallas";
"Jessica";"Baltimore";
"Jin";"Detroit";
"Joane";"Dallas";
"Joanie";"Baltimore";
"Joanna";"Wichita";
"Joannie";"Austin";
"Johnetta";"Dallas";
"Joie";"Oakland";
"Joselyn";"Baltimore";
"Joy";"Philadelphia";
"Judith";"Chicago";
"Julee";"Philadelphia";
"Juli";"Charlotte";
"Juliane";"Dallas";
"Julissa";"Detroit";
"Justa";"Oakland";
"Kacey";"Oakland";
"Kaila";"Philadelphia";
"Kala";"Chicago";
"Kandis";"Detroit";
"Kandra";"Baltimore";
"Kanisha";"Detroit";
"Kara";"Baltimore";
"Karisa";"Miami";
"Karissa";"Wichita";
"Karma";"Miami";
"Karoline";"Baltimore";
"Kasie";"Chicago";
"Katharine";"Miami";
"Katheryn";"Philadelphia";
"Kathryne";"Chicago";
"Kayleigh";"Miami";
"Keeley";"Philadelphia";
"Keena";"Miami";
"Kellie";"Austin";
"Kellye";"Charlotte";
"Kenna";"Baltimore";
"Kira";"Charlotte";
"Kittie";"Dallas";
"Kori";"Baltimore";
"Kortney";"Baltimore";
"Krissy";"Philadelphia";
"Kristina";"Baltimore";
"Krystal";"Chicago";
"Kylee";"Detroit";
"Kymberly";"Wichita";
"Kyra";"Austin";
"Laci";"Austin";
"Lakeshia";"Miami";
"Lakiesha";"Miami";
"Lang";"Miami";
"Lani";"Baltimore";
"Lanie";"Austin";
"Laquanda";"Philadelphia";
"Laquita";"Miami";
"Larhonda";"Charlotte";
"Larraine";"Dallas";
"Larue";"Detroit";
"Latanya";"Dallas";
"Latoya";"Oakland";
"Lavenia";"Austin";
"Leah";"Detroit";
"Leatrice";"Oakland";
"Leena";"Detroit";
"Leilani";"Charlotte";
"Lennie";"Wichita";
"Leonida";"Oakland";
"Leontine";"Chicago";
"Lera";"Charlotte";
"Lien";"Oakland";
"Ligia";"Austin";
"Lila";"Dallas";
"Liliana";"Baltimore";
"Lillie";"Baltimore";
"Lisette";"Dallas";
"Lissette";"Wichita";
"Livia";"Oakland";
"Loida";"Wichita";
"Lora";"Oakland";
"Lorelei";"Oakland";
"Lorina";"Baltimore";
"Louetta";"Wichita";
"Lovella";"Philadelphia";
"Lu";"Wichita";
"Lucia";"Dallas";
"Lucienne";"Chicago";
"Lucile";"Austin";
"Lucy";"Miami";
"Lula";"Wichita";
"Luvenia";"Oakland";
"Lynsey";"Philadelphia";
"Mabel";"Oakland";
"Mabelle";"Baltimore";
"Mable";"Oakland";
"Madalene";"Miami";
"Madeleine";"Oakland";
"Madelene";"Wichita";
"Madge";"Miami";
"Maegan";"Oakland";
"Maia";"Detroit";
"Maire";"Oakland";
"Maisha";"Oakland";
"Malika";"Dallas";
"Mammie";"Charlotte";
"Manda";"Austin";
"Mandi";"Detroit";
"Mandy";"Wichita";
"Mao";"Miami";
"Marcelina";"Dallas";
"Marcella";"Detroit";
"Marcene";"Detroit";
"Marcy";"Philadelphia";
"Margarette";"Detroit";
"Marge";"Philadelphia";
"Marguerite";"Chicago";
"Marie";"Baltimore";
"Marilee";"Oakland";
"Marivel";"Chicago";
"Markita";"Charlotte";
"Marlyn";"Wichita";
"Marvella";"Chicago";
"Maryland";"Detroit";
"Maryrose";"Detroit";
"Mathilde";"Chicago";
"Meaghan";"Charlotte";
"Mechelle";"Charlotte";
"Meghann";"Chicago";
"Mei";"Detroit";
"Melisa";"Dallas";
"Melodie";"Detroit";
"Melody";"Detroit";
"Melynda";"Miami";
"Mercedes";"Detroit";
"Merideth";"Wichita";
"Michaela";"Dallas";
"Mika";"Charlotte";
"Mindi";"Wichita";
"Minta";"Austin";
"Mirian";"Philadelphia";
"Misty";"Chicago";
"Moira";"Dallas";
"Mollie";"Miami";
"Mona";"Charlotte";
"Myra";"Philadelphia";
"Myrle";"Austin";
"Myrna";"Dallas";
"Nakisha";"Dallas";
"Nancee";"Miami";
"Nanette";"Detroit";
"Natalya";"Miami";
"Natasha";"Austin";
"Nathalie";"Austin";
"Nelda";"Detroit";
"Neoma";"Detroit";
"Nicholle";"Dallas";
"Nicole";"Wichita";
"Nida";"Chicago";
"Nilsa";"Austin";
"Nita";"Wichita";
"Noella";"Austin";
"Odelia";"Oakland";
"Ok";"Detroit";
"Olympia";"Austin";
"Onita";"Dallas";
"Ozie";"Detroit";
"Pa";"Chicago";
"Page";"Wichita";
"Pamela";"Wichita";
"Patrica";"Wichita";
"Paulina";"Detroit";
"Petrina";"Miami";
"Princess";"Philadelphia";
"Pura";"Austin";
"Rachael";"Austin";
"Rachel";"Dallas";
"Rachele";"Austin";
"Rachell";"Oakland";
"Racquel";"Oakland";
"Raelene";"Philadelphia";
"Raguel";"Detroit";
"Ramona";"Detroit";
"Ramonita";"Wichita";
"Reanna";"Oakland";
"Rebeca";"Chicago";
"Reina";"Dallas";
"Reita";"Miami";
"Renda";"Oakland";
"Renea";"Oakland";
"Retta";"Chicago";
"Riva";"Chicago";
"Rosaura";"Wichita";
"Roxanna";"Chicago";
"Ruthann";"Oakland";
"Ruthe";"Baltimore";
"Sacha";"Baltimore";
"Sachiko";"Philadelphia";
"Salena";"Dallas";
"Salina";"Philadelphia";
"Samara";"Philadelphia";
"Sarai";"Austin";
"Sarina";"Philadelphia";
"Shae";"Miami";
"Shalonda";"Charlotte";
"Shaneka";"Wichita";
"Shanelle";"Wichita";
"Shanice";"Miami";
"Shanon";"Dallas";
"Shantay";"Dallas";
"Sharika";"Baltimore";
"Sharolyn";"Charlotte";
"Shavonda";"Oakland";
"Shawanna";"Austin";
"Shelia";"Austin";
"Shelli";"Baltimore";
"Shemeka";"Charlotte";
"Shenna";"Charlotte";
"Sherice";"Charlotte";
"Sherie";"Detroit";
"Sherise";"Oakland";
"Sherlyn";"Baltimore";
"Sherril";"Wichita";
"Sherry";"Miami";
"Sheryl";"Philadelphia";
"Shila";"Austin";
"Shira";"Miami";
"Sibyl";"Dallas";
"Simonne";"Wichita";
"So";"Chicago";
"Starla";"Baltimore";
"Stasia";"Chicago";
"Stefania";"Philadelphia";
"Stephanie";"Austin";
"Stephenie";"Austin";
"Stephnie";"Oakland";
"Sumiko";"Charlotte";
"Susan";"Baltimore";
"Susann";"Philadelphia";
"Susanna";"Baltimore";
"Suzette";"Philadelphia";
"Suzy";"Miami";
"Syble";"Miami";
"Syreeta";"Oakland";
"Tabetha";"Charlotte";
"Tai";"Chicago";
"Takako";"Austin";
"Takisha";"Oakland";
"Tamiko";"Miami";
"Tammara";"Oakland";
"Tarah";"Austin";
"Tarsha";"Baltimore";
"Tatiana";"Oakland";
"Tawana";"Baltimore";
"Tegan";"Oakland";
"Teisha";"Dallas";
"Tequila";"Oakland";
"Terisa";"Philadelphia";
"Tesha";"Dallas";
"Theola";"Philadelphia";
"Theresa";"Charlotte";
"Therese";"Dallas";
"Thresa";"Chicago";
"Tiesha";"Philadelphia";
"Tiffany";"Oakland";
"Tobie";"Baltimore";
"Tomiko";"Austin";
"Tona";"Chicago";
"Toni";"Oakland";
"Torri";"Baltimore";
"Tracee";"Dallas";
"Tran";"Wichita";
"Treasa";"Detroit";
"Trinity";"Oakland";
"Trista";"Miami";
"Trula";"Charlotte";
"Twana";"Miami";
"Twanna";"Philadelphia";
"Tynisha";"Detroit";
"Valene";"Dallas";
"Valeria";"Wichita";
"Valery";"Chicago";
"Vallie";"Charlotte";
"Vannessa";"Oakland";
"Vasiliki";"Dallas";
"Verline";"Wichita";
"Vernita";"Detroit";
"Veronique";"Miami";
"Veta";"Detroit";
"Vicky";"Oakland";
"Vincenza";"Detroit";
"Wendie";"Miami";
"Wenona";"Austin";
"Willa";"Oakland";
"Williemae";"Dallas";
"Wilma";"Baltimore";
"Xuan";"Baltimore";
"Yen";"Wichita";
"Yolonda";"Dallas";
"Yuki";"Chicago";
"Zandra";"Oakland";
"Zofia";"Austin";
"Zola";"Baltimore";
"Zula";"Miami";
